initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.36641, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.62502, step_acc: 3.38360, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.62320, step_acc: 3.42468, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.61946, step_acc: 3.46419, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.61534, step_acc: 3.50502, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.61116, step_acc: 3.53244, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.60844, step_acc: 3.55177, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.60659, step_acc: 3.57208, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.60461, step_acc: 3.58672, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.60288, step_acc: 3.59236, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.60206, step_acc: 3.59943, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.60108, step_acc: 3.62953, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.59855, step_acc: 3.63913, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.59783, step_acc: 3.65892, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.59519, step_acc: 3.66495, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.59439, step_acc: 3.67318, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.59342, step_acc: 3.68231, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.59221, step_acc: 3.69475, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.59128, step_acc: 3.70436, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.59023, step_acc: 3.71602, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.58884, step_acc: 3.72630, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.58766, step_acc: 3.72820, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.58717, step_acc: 3.73750, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.58628, step_acc: 3.74524, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.58529, step_acc: 3.76361, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.58349, step_acc: 3.78220, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.58168, step_acc: 3.79381, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.58036, step_acc: 3.80589, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.57922, step_acc: 3.81546, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.57831, step_acc: 3.82477, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.57729, step_acc: 3.83245, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.57641, step_acc: 3.83197, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.57644, step_acc: 3.83404, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.57613, step_acc: 3.85065, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.57451, step_acc: 3.87636, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.57214, step_acc: 3.90487, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.56895, step_acc: 3.91788, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.56808, step_acc: 3.92425, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.56736, step_acc: 3.93279, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.56650, step_acc: 3.94593, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.56518, step_acc: 3.95755, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.56409, step_acc: 3.96533, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.56332, step_acc: 3.97248, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.56270, step_acc: 3.97837, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.56213, step_acc: 3.98707, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.56123, step_acc: 3.99723, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.56026, step_acc: 4.00357, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.55963, step_acc: 4.01580, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.55849, step_acc: 4.02515, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.55753, step_acc: 4.03121, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.55685, step_acc: 4.03523, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.55631, step_acc: 4.03997, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.55571, step_acc: 4.04551, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.55503, step_acc: 4.05183, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.55430, step_acc: 4.05848, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.55374, step_acc: 4.10743, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.54981, step_acc: 4.13531, grid_scale: 1 / 5, strokes: 2 / 9
