initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 6.93658, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.36719, step_acc: 6.94725, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.36677, step_acc: 6.95878, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.36637, step_acc: 6.96843, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.36584, step_acc: 6.98390, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.36528, step_acc: 6.99888, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.36473, step_acc: 7.01348, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.36415, step_acc: 7.02663, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.36360, step_acc: 7.04344, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.36296, step_acc: 7.06374, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.36222, step_acc: 7.07854, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.36156, step_acc: 7.09737, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.36082, step_acc: 7.11340, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.36012, step_acc: 7.12735, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.35947, step_acc: 7.14182, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.35888, step_acc: 7.15801, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.35815, step_acc: 7.17539, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.35741, step_acc: 7.19135, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.35668, step_acc: 7.21108, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.35582, step_acc: 7.22762, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.35507, step_acc: 7.24196, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.35440, step_acc: 7.25818, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.35372, step_acc: 7.27090, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.35309, step_acc: 7.28514, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.35243, step_acc: 7.29851, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.35179, step_acc: 7.31048, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.35122, step_acc: 7.32140, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.35070, step_acc: 7.33191, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.35020, step_acc: 7.34198, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.34969, step_acc: 7.35252, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.34913, step_acc: 7.36070, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.34866, step_acc: 7.37253, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.34815, step_acc: 7.38145, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.34766, step_acc: 7.39249, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.34714, step_acc: 7.40109, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.34668, step_acc: 7.41230, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.34628, step_acc: 7.41859, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.34582, step_acc: 7.42829, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.34536, step_acc: 7.43767, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.34492, step_acc: 7.44396, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.34449, step_acc: 7.45433, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.34404, step_acc: 7.46483, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.34361, step_acc: 7.47303, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.34316, step_acc: 7.48506, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.34270, step_acc: 7.48988, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.34229, step_acc: 7.50383, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.34191, step_acc: 7.50143, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.34156, step_acc: 7.51665, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.34108, step_acc: 7.52078, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.34069, step_acc: 7.52882, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.34030, step_acc: 7.53431, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.33991, step_acc: 7.54133, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.33953, step_acc: 7.54964, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.33921, step_acc: 7.55195, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.33882, step_acc: 7.56027, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.33845, step_acc: 7.63905, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.33384, step_acc: 7.67582, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.33227, step_acc: 7.69527, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.33093, step_acc: 7.71762, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.32959, step_acc: 7.73723, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.32851, step_acc: 7.75970, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.32756, step_acc: 7.76836, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.32656, step_acc: 7.78502, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.32559, step_acc: 7.79467, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.32489, step_acc: 7.81077, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.32423, step_acc: 7.82134, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.32370, step_acc: 7.83292, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.32282, step_acc: 7.84774, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.32221, step_acc: 7.85537, grid_scale: 1 / 5, strokes: 2 / 9
