initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.30045, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.63191, step_acc: 3.31064, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.62995, step_acc: 3.34713, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.62701, step_acc: 3.36250, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.62480, step_acc: 3.37135, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.62255, step_acc: 3.38728, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.62003, step_acc: 3.42284, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.61635, step_acc: 3.45184, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.61304, step_acc: 3.46103, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.61137, step_acc: 3.49334, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.60797, step_acc: 3.50883, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.60560, step_acc: 3.52006, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.60471, step_acc: 3.52622, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.60371, step_acc: 3.54827, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.60182, step_acc: 3.56473, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.60013, step_acc: 3.58373, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.59821, step_acc: 3.59391, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.59719, step_acc: 3.59965, grid_scale: 1 / 5, strokes: 1 / 9
