initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.36642, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.62502, step_acc: 3.38361, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.62320, step_acc: 3.42471, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.61946, step_acc: 3.46418, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.61534, step_acc: 3.50501, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.61117, step_acc: 3.53292, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.60842, step_acc: 3.55215, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.60657, step_acc: 3.57192, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.60463, step_acc: 3.58694, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.60288, step_acc: 3.59005, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.60230, step_acc: 3.59792, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.60132, step_acc: 3.60484, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.60047, step_acc: 3.61658, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.59920, step_acc: 3.65097, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.59645, step_acc: 3.66400, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.59473, step_acc: 3.66728, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.59457, step_acc: 3.67974, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.59259, step_acc: 3.68439, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.59208, step_acc: 3.68609, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.59174, step_acc: 3.68951, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.59122, step_acc: 3.69439, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.59058, step_acc: 3.70116, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.58976, step_acc: 3.71323, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.58861, step_acc: 3.72882, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.58705, step_acc: 3.73660, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.58603, step_acc: 3.74426, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.58526, step_acc: 3.76059, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.58386, step_acc: 3.77786, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.58214, step_acc: 3.78443, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.58130, step_acc: 3.79496, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.58033, step_acc: 3.80662, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.57915, step_acc: 3.81863, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.57794, step_acc: 3.82891, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.57681, step_acc: 3.83666, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.57595, step_acc: 3.84947, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.57472, step_acc: 3.87455, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.57243, step_acc: 3.88822, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.57092, step_acc: 3.90263, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.56960, step_acc: 3.91683, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.56823, step_acc: 3.93537, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.56660, step_acc: 3.95536, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.56466, step_acc: 3.97149, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.56309, step_acc: 3.98336, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.56186, step_acc: 3.99011, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.56115, step_acc: 3.99496, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.56053, step_acc: 3.99989, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.55994, step_acc: 4.00848, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.55922, step_acc: 4.01979, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.55813, step_acc: 4.02859, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.55728, step_acc: 4.03277, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.55663, step_acc: 4.03742, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.55607, step_acc: 4.04317, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.55528, step_acc: 4.04801, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.55474, step_acc: 4.05494, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.55396, step_acc: 4.06614, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.55329, step_acc: 4.11775, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.54912, step_acc: 4.14480, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.54659, step_acc: 4.17897, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.54403, step_acc: 4.20319, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.54150, step_acc: 4.23300, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.53875, step_acc: 4.26007, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.53643, step_acc: 4.29192, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.53380, step_acc: 4.32606, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.53083, step_acc: 4.35652, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.52831, step_acc: 4.39839, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.52510, step_acc: 4.42000, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.52316, step_acc: 4.44284, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.52112, step_acc: 4.46615, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.51907, step_acc: 4.49346, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.51676, step_acc: 4.52230, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.51465, step_acc: 4.55914, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.51194, step_acc: 4.58840, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.50979, step_acc: 4.61996, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.50752, step_acc: 4.63997, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.50580, step_acc: 4.67079, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.50374, step_acc: 4.71253, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.50091, step_acc: 4.75713, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.49770, step_acc: 4.78974, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.49506, step_acc: 4.82303, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.49220, step_acc: 4.85046, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.48953, step_acc: 4.86688, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.48773, step_acc: 4.88426, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.48593, step_acc: 4.90304, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.48435, step_acc: 4.92854, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.48234, step_acc: 4.95108, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.48044, step_acc: 4.97123, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.47873, step_acc: 4.98560, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.47753, step_acc: 4.99113, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.47656, step_acc: 4.99560, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.47603, step_acc: 5.00137, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.47538, step_acc: 5.00728, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.47481, step_acc: 5.01709, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.47419, step_acc: 5.02625, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.47347, step_acc: 5.04575, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.47212, step_acc: 5.05599, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.47127, step_acc: 5.06273, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.47068, step_acc: 5.07610, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.46974, step_acc: 5.08688, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.46891, step_acc: 5.10010, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.46807, step_acc: 5.10757, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.46738, step_acc: 5.11403, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.46681, step_acc: 5.12192, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.46618, step_acc: 5.12626, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.46569, step_acc: 5.12976, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.46525, step_acc: 5.13189, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.46495, step_acc: 5.14106, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.46435, step_acc: 5.15213, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.46355, step_acc: 5.16406, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.46241, step_acc: 5.17873, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.46147, step_acc: 5.17845, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.46105, step_acc: 5.15127, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.46145, step_acc: 5.17876, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.45957, step_acc: 5.18679, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.45811, step_acc: 5.21683, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.45650, step_acc: 5.23555, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 115, G_loss: 0.45476, step_acc: 5.24036, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 116, G_loss: 0.45434, step_acc: 5.25521, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 117, G_loss: 0.45302, step_acc: 5.28870, grid_scale: 1 / 5, strokes: 3 / 9
