initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 6.93658, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.36719, step_acc: 6.94725, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.36677, step_acc: 6.95878, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.36637, step_acc: 6.96844, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.36584, step_acc: 6.98380, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.36528, step_acc: 6.99901, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.36473, step_acc: 7.01336, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.36415, step_acc: 7.02655, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.36360, step_acc: 7.04334, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.36296, step_acc: 7.06368, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.36223, step_acc: 7.07847, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.36156, step_acc: 7.09736, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.36082, step_acc: 7.11338, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.36013, step_acc: 7.12743, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.35947, step_acc: 7.14173, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.35887, step_acc: 7.15791, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.35816, step_acc: 7.17456, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.35744, step_acc: 7.19414, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.35659, step_acc: 7.21273, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.35575, step_acc: 7.22708, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.35510, step_acc: 7.24167, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.35443, step_acc: 7.25622, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.35376, step_acc: 7.27002, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.35312, step_acc: 7.28479, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.35248, step_acc: 7.29787, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.35182, step_acc: 7.30972, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.35125, step_acc: 7.32105, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.35072, step_acc: 7.33136, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.35023, step_acc: 7.34129, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.34974, step_acc: 7.35178, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.34922, step_acc: 7.36233, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.34866, step_acc: 7.37202, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.34813, step_acc: 7.38319, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.34763, step_acc: 7.39139, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.34719, step_acc: 7.40290, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.34669, step_acc: 7.41250, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.34621, step_acc: 7.42061, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.34578, step_acc: 7.43127, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.34533, step_acc: 7.43866, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.34487, step_acc: 7.44624, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.34443, step_acc: 7.45552, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.34399, step_acc: 7.46529, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.34357, step_acc: 7.47318, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.34312, step_acc: 7.48577, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.34266, step_acc: 7.49140, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.34223, step_acc: 7.50524, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.34193, step_acc: 7.50507, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.34144, step_acc: 7.51744, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.34100, step_acc: 7.51944, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.34065, step_acc: 7.52884, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.34024, step_acc: 7.53358, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.33986, step_acc: 7.54195, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.33961, step_acc: 7.54904, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.33915, step_acc: 7.55473, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.33881, step_acc: 7.56197, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.33844, step_acc: 7.58512, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.33626, step_acc: 7.59275, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.33557, step_acc: 7.59985, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.33519, step_acc: 7.60108, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.33491, step_acc: 7.60798, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.33447, step_acc: 7.61591, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.33408, step_acc: 7.62272, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.33368, step_acc: 7.62686, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.33338, step_acc: 7.63532, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.33314, step_acc: 7.63714, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.33290, step_acc: 7.64275, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.33270, step_acc: 7.64752, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.33250, step_acc: 7.65463, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.33229, step_acc: 7.66543, grid_scale: 1 / 5, strokes: 2 / 9
