initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.29766, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.63215, step_acc: 3.30798, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.63019, step_acc: 3.34457, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.62723, step_acc: 3.35929, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.62512, step_acc: 3.37296, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.62238, step_acc: 3.38618, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.61990, step_acc: 3.43447, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.61538, step_acc: 3.44391, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.61415, step_acc: 3.45698, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.61241, step_acc: 3.46907, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.61126, step_acc: 3.47817, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.60946, step_acc: 3.49205, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.60737, step_acc: 3.51581, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.60520, step_acc: 3.52605, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.60412, step_acc: 3.54367, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.60241, step_acc: 3.55326, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.60125, step_acc: 3.55961, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.60053, step_acc: 3.57621, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.59899, step_acc: 3.59163, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.59744, step_acc: 3.60064, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.59652, step_acc: 3.60346, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.59603, step_acc: 3.60514, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.59569, step_acc: 3.61334, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.59476, step_acc: 3.62385, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.59372, step_acc: 3.62798, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.59319, step_acc: 3.62985, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.59274, step_acc: 3.63508, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.59192, step_acc: 3.65616, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.58981, step_acc: 3.69778, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.58585, step_acc: 3.73871, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.58179, step_acc: 3.76879, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.57864, step_acc: 3.79272, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.57623, step_acc: 3.81421, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.57373, step_acc: 3.83378, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.57136, step_acc: 3.84991, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.56936, step_acc: 3.85713, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.56844, step_acc: 3.86756, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.56722, step_acc: 3.88390, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.56573, step_acc: 3.89586, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.56441, step_acc: 3.90243, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.56347, step_acc: 3.91285, grid_scale: 1 / 5, strokes: 1 / 9
